Functional Location Name L4,Functional Location Type L4,Functional Location Id L4,Functional Location Name L3,Functional Location Type L3,Functional Location Id L3,Functional Location Name L2,Functional Location Type L2,Functional Location Id L2,Functional Location Name L1,Functional Location Type L1,Functional Location Id L1,Asset Id,Asset Name,Asset Status
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Paint Shed ,Building,104781,BLD163420,(NWRHP) Paint Shed  (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Other Organisations,Site,104887,Hobart Reception Prison,Building,104883,BLD163440,(OO) Hobart Reception Prison (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Cambridge Kitchen Facility (CKF),Site,104777,Cambridge Kitchen,Building,104876,BLD163421,(CKF) Cambridge Kitchen (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Hellyer Community Nursing (HCN),Site,104888,Hellyer Community Nursing,Building,104882,BLD163439,(HCN) Hellyer Community Nursing (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Other Organisations,Site,104886,Launceston Reception Prison,Building,104879,BLD163436,(OO) Launceston Reception Prison (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Cameron Street Child Mental Health,Building,104884,BLD163441,(LGHP) Cameron Street Child Mental Health (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Other Organisations,Site,104886,Ashley Youth Detention Centre,Building,104878,BLD163432,(OO) Ashley Youth Detention Centre (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Other Organisations,Site,104887,Huon Regional Care (Dover Building),Building,104881,BLD163437,(OO) Huon Regional Care (Dover Building) (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Liverpool Clinic (RHHLC),Site,104771,RHH Liverpool Clinics,Building,104772,BLD163430,(RHHLC) RHH Liverpool Clinics (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Ambulance Tasmania Aeromedical (ATA),Site,104889,Aeromedical Ambulance North,Building,104885,BLD163442,(ATA) Aeromedical Ambulance North (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,West Coast District Hospital (WCDH),Site,102176,Flat 1,Building,101812,BLD163241,WCDH Flat 1 (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Beaconsfield District Health Centre (BDHC),Site,102092,Generator Room,Building,101759,BLD163252,BDHC Generator Room (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Parenting Centre New Town (PCNT),Site,102163,Parenting Centre,Building,101699,BLD163382,PCNT Parenting Centre (0295)(BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,Gellibrand Building,Building,101798,BLD163098,SJP Gellibrand Building (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Smithton District Hospital Precinct (SDHP),Site,102185,District Hospital,Building,101802,BLD163102,SDHP District Hospital (BUILDING),Active
