Functional Location Name L6,Functional Location Type L6,Functional Location Id L6,Functional Location Name L5,Functional Location Type L5,Functional Location Id L5,Functional Location Name L4,Functional Location Type L4,Functional Location Id L4,Functional Location Name L3,Functional Location Type L3,Functional Location Id L3,Functional Location Name L2,Functional Location Type L2,Functional Location Id L2,Functional Location Name L1,Functional Location Type L1,Functional Location Id L1,Asset Id,Asset Name,Asset Status
DoH Tasmania,Organisation,100095,South,Region,100094,New Norfolk Ambulance Station (NNAS),Site,102159,Ambulance Residence,Building,101777,01. Ground Floor,Floor,101199,BLDG Structure,Structure,100617,BLD100292,2029-01 Ambulance Residence-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Smithton District Hospital Precinct (SDHP),Site,102185,Carport,Building,102014,01. Ground Floor,Floor,101588,BLDG Structure,Structure,101006,BLD102346,0885-01 Carport -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,John L Grove Building,Building,102000,01. Ground Floor,Floor,101574,BLDG Structure,Structure,100992,BLD102501,0110-01 John L Grove Building-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Acton Hub (ACNH),Site,102099,Oral Health Services,Building,101950,01. Ground Floor,Floor,101478,BLDG Structure,Structure,100896,BLD102385,2002-01 Oral Health Services-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Community Hospital,Building,101944,02. First Floor,Floor,101471,BLDG Structure,Structure,100889,BLD102466,0122-02 Community Hospital-L1,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Scottsdale Ambulance Station (SDAS),Site,102181,Garage,Building,102020,01. Ground Floor,Floor,101594,BLDG Structure,Structure,101012,BLD102337,0858-01 Garage-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Flinders Island Multi Purpose Service Centre (FIMPSC),Site,102209,Multipurpose Service Centre,Building,101858,01. Ground Floor,Floor,101298,BLDG Structure,Structure,100716,BLD102554,0237-01 Multipurpose Service Centre-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Nurse's Home 2,Building,102008,02. First Floor,Floor,101665,BLDG Structure,Structure,101083,BLD102510,0797-02 Nurse's Home 2  -L1,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Northern Dental Health Centre (NDHC),Site,102142,Oral Health Services,Building,101935,01. Ground Floor,Floor,101496,BLDG Structure,Structure,100914,BLD102477,2019-01 Oral Health Services-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Northern Community Health Centre (Integrated Care Service),Building,101919,01. Ground Floor,Floor,101433,BLDG Structure,Structure,100851,BLD102290,0874-01 Northern Community Health Centre (Integrated Care Service)-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Wilfred Lopes Secure Mental Health Facility (WLSMHF),Site,102215,Semi Independent Living Units (SILU),Building,101690,01. Ground Floor,Floor,101111,BLDG Structure,Structure,100529,BLD100386,0739-01 Independent Living Units-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Launceston General Hospital,Building,101923,06. Sixth Floor,Floor,101443,BLDG Structure,Structure,100861,BLD102490,0100-06 Launceston General Hospital-L6,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Unit 2,Building,101998,01. Ground Floor,Floor,101570,BLDG Structure,Structure,100988,BLD102458,0789-01 Unit 2-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Wilfred Lopes Secure Mental Health Facility (WLSMHF),Site,102215,ADEH Administration Building,Building,101710,01. Ground Floor,Floor,101131,BLDG Structure,Structure,100549,BLD100368,0610-01 ADEH Building-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Whitemark Residence (FIMPSCR),Site,102210,Residence,Building,101911,01. Ground Floor,Floor,101410,BLDG Structure,Structure,100828,BLD102355,0927-01 Residence-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Campbell Town Ambulance Residence (CTMPSCAR),Site,102104,Carport,Building,101947,01. Ground Floor,Floor,101474,BLDG Structure,Structure,100892,BLD102392,0830-01 Carport -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Child Care Centre,Building,101962,01. Ground Floor,Floor,101503,BLDG Structure,Structure,100921,BLD102285,2021-01 Child Care Centre-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Scottsdale Ambulance Station (SDAS),Site,102181,Ambulance Station,Building,102007,01. Ground Floor,Floor,101581,BLDG Structure,Structure,100999,BLD102338,0833-01 Ambulance Station-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,George Town Hospital Precinct (GTHP),Site,102117,Ambulance Residence,Building,101733,01. Ground Floor,Floor,101154,BLDG Structure,Structure,100572,BLD100390,0796-01 Ambulance Residence -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Scottsdale Ambulance Station (SDAS),Site,102181,Carport,Building,102062,01. Ground Floor,Floor,101641,BLDG Structure,Structure,101059,BLD102341,0859-01 Carport-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Records storage,Building,101995,01. Ground Floor,Floor,101566,BLDG Structure,Structure,100984,BLD102473,0774-01 Records storage-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Ambulance Station (RASNW),Site,102101,Regional Office,Building,101937,01. Ground Floor,Floor,101457,BLDG Structure,Structure,100875,BLD102391,0048-01 Regional Office -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Oakrise (Kelham St),Building,102066,01. Ground Floor,Floor,101645,BLDG Structure,Structure,101063,BLD102496,0108-01 Oakrise (Kelham St)-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,King Island District Hospital and Community Health Centre (KIDHCHC),Site,102108,District Hospital Loading Bay Roof,Building,104782,01. Roof,Floor,104794,BLDG Structure,Structure,104821,BLD162971,2117-01 District Hospital Loading Bay-RF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0992),Building,101890,01. Ground Floor,Floor,101353,BLDG Structure,Structure,100771,BLD102640,0992-01 Residence-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,St Helens District Hospital (SHDH),Site,102190,District Hospital,Building,101793,01. Ground Floor,Floor,101215,BLDG Structure,Structure,100633,BLD100401,0968-01 District Hospital-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Central Coast Community Health Centre (CCCHC),Site,102206,Community Health Centre,Building,101713,01. Ground Floor,Floor,101134,BLDG Structure,Structure,100552,BLD100330,0222-01 Community Health Centre-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0207),Building,101909,01. Ground Floor,Floor,101408,BLDG Structure,Structure,100826,BLD102642,0207-01 Residence-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Community Hospital,Building,101944,05. Roof,Floor,104801,BLDG Structure,Structure,104828,BLD162979,0122-05 Community Hospital-RF,Active
